"certificate_number","improvement_item","improvement_id","improvement_summary_text","improvement_descr_text","indicative_cost"
"2468-4024-7272-2104-4920","3","10","Draught proof single-glazed windows","Fitting draught proofing, strips of insulation around windows and doors, will improve the comfort in the home. A contractor can be employed but draught proofing can be installed by a competent DIY enthusiast.","£80 - £120"
"8681-7722-6650-5222-6992","5","8","Replace single glazed windows with low-E double glazed windows","Double glazing is the term given to a system where two panes of glass are made up into a sealed unit. Replacing existing single-glazed windows with double-glazed windows will improve comfort in the home by reducing draughts and cold spots near windows. Double-glazed windows may also reduce noise, improve security and combat problems with condensation.","6,500"
"8706-7625-4170-8482-4996","5","8","Replace single glazed windows with low-E double glazed windows","Double glazing is the term given to a system where two panes of glass are made up into a sealed unit. Replacing existing single-glazed windows with double-glazed windows will improve comfort in the home by reducing draughts and cold spots near windows. Double-glazed windows may also reduce noise, improve security and combat problems with condensation.","6,500"
"9188-2005-6274-5931-9930","2","7","50 mm internal or external wall insulation","Solid wall insulation involves adding a layer of insulation to either the inside or the outside surface of the external walls, which reduces heat loss and lowers fuel bills. As it is more expensive than cavity wall insulation it is only recommended for walls without a cavity, or where for technical reasons a cavity cannot be filled. Internal insulation, known as dry-lining, is where a layer of insulation is fixed to the inside surface of external walls; this type of insulation is best applied when rooms require redecorating and can be installed by a competent DIY enthusiast. External solid wall insulation is the application of an insulant and a weather-protective finish to the outside of the wall. This may improve the look of the home, particularly where existing brickwork or rendering is poor, and will provide long-lasting weather protection. Further information can be obtained from the National Insulation Association (www.nationalinsulationassociation.org.uk).","£4,000 - £14,000"
"7000-5148-0522-2626-3763","1","7","50 mm internal or external wall insulation","Solid wall insulation involves adding a layer of insulation to either the inside or the outside surface of the external walls, which reduces heat loss and lowers fuel bills. As it is more expensive than cavity wall insulation it is only recommended for walls without a cavity, or where for technical reasons a cavity cannot be filled. Internal insulation, known as dry-lining, is where a layer of insulation is fixed to the inside surface of external walls; this type of insulation is best applied when rooms require redecorating and can be installed by a competent DIY enthusiast. External solid wall insulation is the application of an insulant and a weather-protective finish to the outside of the wall. This may improve the look of the home, particularly where existing brickwork or rendering is poor, and will provide long-lasting weather protection. Further information can be obtained from the National Insulation Association (www.nationalinsulationassociation.org.uk).","£7,500 - £11,000"
"0142-2856-6441-9828-8135","2","58","Floor insulation (solid floor)","Insulation of a floor will significantly reduce heat loss; this will improve levels of comfort, reduce energy use and lower fuel bills. Further information about floor insulation is available from many sources including www.energysavingtrust.org.uk/northernireland/Insulation/Floor-insulation.","6,000"
"0142-2856-6441-9828-8135","4","35","Low energy lighting for all fixed outlets","Replacement of traditional light bulbs with energy saving recommended ones will reduce lighting costs over the lifetime of the bulb, and they last up to 12 times longer than ordinary light bulbs. Also consider selecting low energy light fittings when redecorating; contact the Lighting Association for your nearest stockist of Domestic Energy Efficient Lighting Scheme fittings.","65"
"8536-5427-1600-0864-0226","4","8","Replace single glazed windows with low-E double glazed windows","Double glazing is the term given to a system where two panes of glass are made up into a sealed unit. Replacing existing single-glazed windows with double-glazed windows will improve comfort in the home by reducing draughts and cold spots near windows. Double-glazed windows may also reduce noise, improve security and combat problems with condensation.","£4,500 - £6,000"
"3900-4924-0622-0401-3553","1","7","50 mm internal or external wall insulation","Solid wall insulation involves adding a layer of insulation to either the inside or the outside surface of the external walls, which reduces heat loss and lowers fuel bills. As it is more expensive than cavity wall insulation it is only recommended for walls without a cavity, or where for technical reasons a cavity cannot be filled. Internal insulation, known as dry-lining, is where a layer of insulation is fixed to the inside surface of external walls; this type of insulation is best applied when rooms require redecorating and can be installed by a competent DIY enthusiast. External solid wall insulation is the application of an insulant and a weather-protective finish to the outside of the wall. This may improve the look of the home, particularly where existing brickwork or rendering is poor, and will provide long-lasting weather protection. Further information can be obtained from the National Insulation Association (www.nationalinsulationassociation.org.uk).","£4,000 - £14,000"
"8536-5427-1600-0864-0226","2","57","Floor insulation (suspended floor)","Insulation of a floor will significantly reduce heat loss; this will improve levels of comfort, reduce energy use and lower fuel bills. Suspended floors can often be insulated from below. . Further information about floor insulation is available from many sources including www.energysavingtrust.org.uk/northernireland/Insulation/Floor-insulation.","£5,000 - £10,000"
"8105-6746-3229-6206-2313","1","7","50 mm internal or external wall insulation","Solid wall insulation involves adding a layer of insulation to either the inside or the outside surface of the external walls, which reduces heat loss and lowers fuel bills. As it is more expensive than cavity wall insulation it is only recommended for walls without a cavity, or where for technical reasons a cavity cannot be filled. Internal insulation, known as dry-lining, is where a layer of insulation is fixed to the inside surface of external walls; this type of insulation is best applied when rooms require redecorating and can be installed by a competent DIY enthusiast. External solid wall insulation is the application of an insulant and a weather-protective finish to the outside of the wall. This may improve the look of the home, particularly where existing brickwork or rendering is poor, and will provide long-lasting weather protection. Further information can be obtained from the National Insulation Association (www.nationalinsulationassociation.org.uk).","£4,000 - £14,000"
"0799-2889-6852-9972-3301","4","10","Draught proof single-glazed windows","Fitting draught proofing, strips of insulation around windows and doors, will improve the comfort in the home. A contractor can be employed but draught proofing can be installed by a competent DIY enthusiast.","£80 - £120"
"2168-2048-6202-9852-8990","4","34","Solar photovoltaic panels, 2.5 kWp","A solar PV system is one which converts light directly into electricity via panels placed on the roof with no waste and no emissions. This electricity is used throughout the home in the same way as the electricity purchased from an energy supplier. The British Photovoltaic Association has up-to-date information on local installers who are qualified electricians. It is best to obtain advice from a qualified electrician. Ask the electrician to explain the options.","£11,000 - £20,000"
"8706-7625-4170-8482-4996","1","6","Cavity wall insulation","Cavity wall insulation, to fill the gap between the inner and outer layers of external walls with an insulating material, reduces heat loss; this will improve levels of comfort, reduce energy use and lower fuel bills. The insulation material is pumped into the gap through small holes that are drilled into the outer walls, and the holes are made good afterwards. As specialist machinery is used to fill the cavity, a professional installation company should carry out this work, and they should carry out a thorough survey before commencing work to ensure that this type of insulation is suitable for this home. They should also provide a guarantee for the work and handle any building control issues. Further information about cavity wall insulation and details of local installers can be obtained from the National Insulation Association (www.nationalinsulationassociation.org.uk).","1,500"
"8706-7625-4170-8482-4996","6","34","Solar photovoltaic panels, 2.5 kWp","A solar PV system is one which converts light directly into electricity via panels placed on the roof with no waste and no emissions. This electricity is used throughout the home in the same way as the electricity purchased from an energy supplier. The British Photovoltaic Association has up-to-date information on local installers who are qualified electricians. It is best to obtain advice from a qualified electrician. Ask the electrician to explain the options.","8,000"
"8681-7722-6650-5222-6992","3","10","Draught proof single-glazed windows","Fitting draught proofing, strips of insulation around windows and doors, will improve the comfort in the home. A contractor can be employed but draught proofing can be installed by a competent DIY enthusiast.","120"
"8105-6746-3229-6206-2313","2","58","Floor insulation (solid floor)","Insulation of a floor will significantly reduce heat loss; this will improve levels of comfort, reduce energy use and lower fuel bills. Further information about floor insulation is available from many sources including www.energysavingtrust.org.uk/northernireland/Insulation/Floor-insulation.","£4,000 - £6,000"
"8105-6746-3229-6206-2313","4","34","Solar photovoltaic panels, 2.5 kWp","A solar PV system is one which converts light directly into electricity via panels placed on the roof with no waste and no emissions. This electricity is used throughout the home in the same way as the electricity purchased from an energy supplier. The British Photovoltaic Association has up-to-date information on local installers who are qualified electricians. It is best to obtain advice from a qualified electrician. Ask the electrician to explain the options.","£3,500 - £5,500"
"8006-3939-6529-2626-7223","1","35","Low energy lighting for all fixed outlets","Replacement of traditional light bulbs with energy saving recommended ones will reduce lighting costs over the lifetime of the bulb, and they last up to 12 times longer than ordinary light bulbs. Also consider selecting low energy light fittings when redecorating; contact the Lighting Association for your nearest stockist of Domestic Energy Efficient Lighting Scheme fittings.","£48"
"2535-7841-3642-5793-5091","2","35","Low energy lighting for all fixed outlets","Replacement of traditional light bulbs with energy saving recommended ones will reduce lighting costs over the lifetime of the bulb, and they last up to 12 times longer than ordinary light bulbs. Also consider selecting low energy light fittings when redecorating; contact the Lighting Association for your nearest stockist of Domestic Energy Efficient Lighting Scheme fittings.","£80"
"8706-7625-4170-8482-4996","3","58","Floor insulation (solid floor)","Insulation of a floor will significantly reduce heat loss; this will improve levels of comfort, reduce energy use and lower fuel bills. Further information about floor insulation is available from many sources including www.energysavingtrust.org.uk/northernireland/Insulation/Floor-insulation.","6,000"
"8706-7625-4170-8482-4996","4","35","Low energy lighting for all fixed outlets","Replacement of traditional light bulbs with energy saving recommended ones will reduce lighting costs over the lifetime of the bulb, and they last up to 12 times longer than ordinary light bulbs. Also consider selecting low energy light fittings when redecorating; contact the Lighting Association for your nearest stockist of Domestic Energy Efficient Lighting Scheme fittings.","120"
"8681-7722-6650-5222-6992","2","58","Floor insulation (solid floor)","Insulation of a floor will significantly reduce heat loss; this will improve levels of comfort, reduce energy use and lower fuel bills. Further information about floor insulation is available from many sources including www.energysavingtrust.org.uk/northernireland/Insulation/Floor-insulation.","6,000"
"0728-2031-7233-5098-0910","4","14","Upgrade heating controls","The heating system should have a room thermostat to enable the boiler to switch off when no heat is required. A competent heating engineer should be asked to do this work. Insist that the thermostat switches off the boiler as well as the pump and that the thermostatic radiator valve is removed from any radiator in the same room as the thermostat. It is best to obtain advice from a qualified heating engineer.","£350 - £450"
"8876-6924-9820-9806-3906","3","34","Solar photovoltaic panels, 2.5 kWp","A solar PV system is one which converts light directly into electricity via panels placed on the roof with no waste and no emissions. This electricity is used throughout the home in the same way as the electricity purchased from an energy supplier. The British Photovoltaic Association has up-to-date information on local installers who are qualified electricians. It is best to obtain advice from a qualified electrician. Ask the electrician to explain the options.","8,000"
"9078-4057-6248-4275-1904","1","7","50 mm internal or external wall insulation","Solid wall insulation involves adding a layer of insulation to either the inside or the outside surface of the external walls, which reduces heat loss and lowers fuel bills. As it is more expensive than cavity wall insulation it is only recommended for walls without a cavity, or where for technical reasons a cavity cannot be filled. Internal insulation, known as dry-lining, is where a layer of insulation is fixed to the inside surface of external walls; this type of insulation is best applied when rooms require redecorating and can be installed by a competent DIY enthusiast. External solid wall insulation is the application of an insulant and a weather-protective finish to the outside of the wall. This may improve the look of the home, particularly where existing brickwork or rendering is poor, and will provide long-lasting weather protection. Further information can be obtained from the National Insulation Association (www.nationalinsulationassociation.org.uk).","14,000"
"8006-3939-6529-2626-7223","4","7","50 mm internal or external wall insulation","Solid wall insulation involves adding a layer of insulation to either the inside or the outside surface of the external walls, which reduces heat loss and lowers fuel bills. As it is more expensive than cavity wall insulation it is only recommended for walls without a cavity, or where for technical reasons a cavity cannot be filled. Internal insulation, known as dry-lining, is where a layer of insulation is fixed to the inside surface of external walls; this type of insulation is best applied when rooms require redecorating and can be installed by a competent DIY enthusiast. External solid wall insulation is the application of an insulant and a weather-protective finish to the outside of the wall. This may improve the look of the home, particularly where existing brickwork or rendering is poor, and will provide long-lasting weather protection. Further information can be obtained from the National Insulation Association (www.nationalinsulationassociation.org.uk).","£5,500 - £14,500"
"7000-5148-0522-2626-3763","3","34","Solar photovoltaic panels, 2.5 kWp","A solar PV system is one which converts light directly into electricity via panels placed on the roof with no waste and no emissions. This electricity is used throughout the home in the same way as the electricity purchased from an energy supplier. The British Photovoltaic Association has up-to-date information on local installers who are qualified electricians. It is best to obtain advice from a qualified electrician. Ask the electrician to explain the options.","£8,000 - £10,000"
"7000-5148-0522-2626-3763","2","57","Floor insulation (suspended floor)","Insulation of a floor will significantly reduce heat loss; this will improve levels of comfort, reduce energy use and lower fuel bills. Suspended floors can often be insulated from below. . Further information about floor insulation is available from many sources including www.energysavingtrust.org.uk/northernireland/Insulation/Floor-insulation.","£5,000 - £10,000"
"0728-2031-7233-5098-0910","7","34","Solar photovoltaic panels, 2.5 kWp","A solar PV system is one which converts light directly into electricity via panels placed on the roof with no waste and no emissions. This electricity is used throughout the home in the same way as the electricity purchased from an energy supplier. The British Photovoltaic Association has up-to-date information on local installers who are qualified electricians. It is best to obtain advice from a qualified electrician. Ask the electrician to explain the options.","£5,000 - £8,000"
"0142-2856-6441-9828-8135","6","8","Replace single glazed windows with low-E double glazed windows","Double glazing is the term given to a system where two panes of glass are made up into a sealed unit. Replacing existing single-glazed windows with double-glazed windows will improve comfort in the home by reducing draughts and cold spots near windows. Double-glazed windows may also reduce noise, improve security and combat problems with condensation.","6,500"
"0142-2856-6441-9828-8135","1","7","50 mm internal or external wall insulation","Solid wall insulation involves adding a layer of insulation to either the inside or the outside surface of the external walls, which reduces heat loss and lowers fuel bills. As it is more expensive than cavity wall insulation it is only recommended for walls without a cavity, or where for technical reasons a cavity cannot be filled. Internal insulation, known as dry-lining, is where a layer of insulation is fixed to the inside surface of external walls; this type of insulation is best applied when rooms require redecorating and can be installed by a competent DIY enthusiast. External solid wall insulation is the application of an insulant and a weather-protective finish to the outside of the wall. This may improve the look of the home, particularly where existing brickwork or rendering is poor, and will provide long-lasting weather protection. Further information can be obtained from the National Insulation Association (www.nationalinsulationassociation.org.uk).","14,000"
"0728-2031-7233-5098-0910","1","7","50 mm internal or external wall insulation","Solid wall insulation involves adding a layer of insulation to either the inside or the outside surface of the external walls, which reduces heat loss and lowers fuel bills. As it is more expensive than cavity wall insulation it is only recommended for walls without a cavity, or where for technical reasons a cavity cannot be filled. Internal insulation, known as dry-lining, is where a layer of insulation is fixed to the inside surface of external walls; this type of insulation is best applied when rooms require redecorating and can be installed by a competent DIY enthusiast. External solid wall insulation is the application of an insulant and a weather-protective finish to the outside of the wall. This may improve the look of the home, particularly where existing brickwork or rendering is poor, and will provide long-lasting weather protection. Further information can be obtained from the National Insulation Association (www.nationalinsulationassociation.org.uk).","£4,000 - £14,000"
"0728-2031-7233-5098-0910","2","57","Floor insulation (suspended floor)","Insulation of a floor will significantly reduce heat loss; this will improve levels of comfort, reduce energy use and lower fuel bills. Suspended floors can often be insulated from below. . Further information about floor insulation is available from many sources including www.energysavingtrust.org.uk/northernireland/Insulation/Floor-insulation.","£800 - £1,200"
"8536-5427-1600-0864-0226","5","34","Solar photovoltaic panels, 2.5 kWp","A solar PV system is one which converts light directly into electricity via panels placed on the roof with no waste and no emissions. This electricity is used throughout the home in the same way as the electricity purchased from an energy supplier. The British Photovoltaic Association has up-to-date information on local installers who are qualified electricians. It is best to obtain advice from a qualified electrician. Ask the electrician to explain the options.","£8,000 - £10,000"
"0142-2856-6441-9828-8135","7","34","Solar photovoltaic panels, 2.5 kWp","A solar PV system is one which converts light directly into electricity via panels placed on the roof with no waste and no emissions. This electricity is used throughout the home in the same way as the electricity purchased from an energy supplier. The British Photovoltaic Association has up-to-date information on local installers who are qualified electricians. It is best to obtain advice from a qualified electrician. Ask the electrician to explain the options.","8,000"
"8536-5427-1600-0864-0226","3","10","Draught proof single-glazed windows","Fitting draught proofing, strips of insulation around windows and doors, will improve the comfort in the home. A contractor can be employed but draught proofing can be installed by a competent DIY enthusiast.","£150 - £250"
"8006-3939-6529-2626-7223","2","20","Replace boiler with new condensing boiler","A condensing boiler is capable of much higher efficiencies than other types of boiler, meaning it will burn less fuel to heat this property. This improvement is most appropriate when the existing central heating boiler needs repair or replacement, but there may be exceptional circumstances making this impractical. Condensing boilers need a drain for the condensate which limits their location; remember this when considering remodelling the room containing the existing boiler even if the latter is to be retained for the time being (for example a kitchen makeover). It is best to obtain advice from a qualified heating engineer. Ask the engineer to explain the options.","£1,500 - £3,500"
"8876-7925-4890-8434-8926","3","10","Draught proof single-glazed windows","Fitting draught proofing, strips of insulation around windows and doors, will improve the comfort in the home. A contractor can be employed but draught proofing can be installed by a competent DIY enthusiast.","£80 - £120"
"0310-2646-2340-2094-5735","1","7","50 mm internal or external wall insulation","Solid wall insulation involves adding a layer of insulation to either the inside or the outside surface of the external walls, which reduces heat loss and lowers fuel bills. As it is more expensive than cavity wall insulation it is only recommended for walls without a cavity, or where for technical reasons a cavity cannot be filled. Internal insulation, known as dry-lining, is where a layer of insulation is fixed to the inside surface of external walls; this type of insulation is best applied when rooms require redecorating and can be installed by a competent DIY enthusiast. External solid wall insulation is the application of an insulant and a weather-protective finish to the outside of the wall. This may improve the look of the home, particularly where existing brickwork or rendering is poor, and will provide long-lasting weather protection. Further information can be obtained from the National Insulation Association (www.nationalinsulationassociation.org.uk).","£4,000 - £14,000"
"8006-3939-6529-2626-7223","3","19","Solar water heating","A solar water heating panel, usually fixed to the roof, uses the sun to pre-heat the hot water supply. This will significantly reduce the demand on the heating system to provide hot water and hence save fuel and money. The Solar Trade Association has up-to-date information on local installers.","£4,000 - £6,000"
"8363-7322-5300-4048-3922","2","7","50 mm internal or external wall insulation","Solid wall insulation involves adding a layer of insulation to either the inside or the outside surface of the external walls, which reduces heat loss and lowers fuel bills. As it is more expensive than cavity wall insulation it is only recommended for walls without a cavity, or where for technical reasons a cavity cannot be filled. Internal insulation, known as dry-lining, is where a layer of insulation is fixed to the inside surface of external walls; this type of insulation is best applied when rooms require redecorating and can be installed by a competent DIY enthusiast. External solid wall insulation is the application of an insulant and a weather-protective finish to the outside of the wall. This may improve the look of the home, particularly where existing brickwork or rendering is poor, and will provide long-lasting weather protection. Further information can be obtained from the National Insulation Association (www.nationalinsulationassociation.org.uk).","£4,000 - £14,000"
"8681-7722-6650-5222-6992","6","34","Solar photovoltaic panels, 2.5 kWp","A solar PV system is one which converts light directly into electricity via panels placed on the roof with no waste and no emissions. This electricity is used throughout the home in the same way as the electricity purchased from an energy supplier. The British Photovoltaic Association has up-to-date information on local installers who are qualified electricians. It is best to obtain advice from a qualified electrician. Ask the electrician to explain the options.","8,000"
"8681-7722-6650-5222-6992","1","7","50 mm internal or external wall insulation","Solid wall insulation involves adding a layer of insulation to either the inside or the outside surface of the external walls, which reduces heat loss and lowers fuel bills. As it is more expensive than cavity wall insulation it is only recommended for walls without a cavity, or where for technical reasons a cavity cannot be filled. Internal insulation, known as dry-lining, is where a layer of insulation is fixed to the inside surface of external walls; this type of insulation is best applied when rooms require redecorating and can be installed by a competent DIY enthusiast. External solid wall insulation is the application of an insulant and a weather-protective finish to the outside of the wall. This may improve the look of the home, particularly where existing brickwork or rendering is poor, and will provide long-lasting weather protection. Further information can be obtained from the National Insulation Association (www.nationalinsulationassociation.org.uk).","14,000"
"8876-6924-9820-9806-3906","2","8","Replace single glazed windows with low-E double glazed windows","Double glazing is the term given to a system where two panes of glass are made up into a sealed unit. Replacing existing single-glazed windows with double-glazed windows will improve comfort in the home by reducing draughts and cold spots near windows. Double-glazed windows may also reduce noise, improve security and combat problems with condensation.","6,500"
"3900-4924-0622-0401-3553","2","57","Floor insulation (suspended floor)","Insulation of a floor will significantly reduce heat loss; this will improve levels of comfort, reduce energy use and lower fuel bills. Suspended floors can often be insulated from below. . Further information about floor insulation is available from many sources including www.energysavingtrust.org.uk/northernireland/Insulation/Floor-insulation.","£800 - £1,200"
"8363-7322-5300-4048-3922","7","34","Solar photovoltaic panels, 2.5 kWp","A solar PV system is one which converts light directly into electricity via panels placed on the roof with no waste and no emissions. This electricity is used throughout the home in the same way as the electricity purchased from an energy supplier. The British Photovoltaic Association has up-to-date information on local installers who are qualified electricians. It is best to obtain advice from a qualified electrician. Ask the electrician to explain the options.","£5,000 - £8,000"
"0310-2646-2340-2094-5735","3","19","Solar water heating","A solar water heating panel, usually fixed to the roof, uses the sun to pre-heat the hot water supply. This will significantly reduce the demand on the heating system to provide hot water and hence save fuel and money. The Solar Trade Association has up-to-date information on local installers.","£4,000 - £6,000"
"8876-7925-4890-8434-8926","2","57","Floor insulation (suspended floor)","Insulation of a floor will significantly reduce heat loss; this will improve levels of comfort, reduce energy use and lower fuel bills. Suspended floors can often be insulated from below. . Further information about floor insulation is available from many sources including www.energysavingtrust.org.uk/northernireland/Insulation/Floor-insulation.","£800 - £1,200"
"8876-7925-4890-8434-8926","7","34","Solar photovoltaic panels, 2.5 kWp","A solar PV system is one which converts light directly into electricity via panels placed on the roof with no waste and no emissions. This electricity is used throughout the home in the same way as the electricity purchased from an energy supplier. The British Photovoltaic Association has up-to-date information on local installers who are qualified electricians. It is best to obtain advice from a qualified electrician. Ask the electrician to explain the options.","£5,000 - £8,000"
"9188-2005-6274-5931-9930","1","46","Room-in-roof insulation","Insulating roof rooms will significantly reduce heat loss; this will improve levels of comfort, reduce energy use and lower fuel bills. If it has a flat ceiling insulation can usually be added above the ceiling, and sloping ceilings and walls of roof rooms can be insulated using an internal lining board. Further information about roof room insulation and details of local contractors can be obtained from the National Insulation Association (www.nationalinsulationassociation.org.uk).","£1,500 - £2,700"
"9188-2005-6274-5931-9930","4","34","Solar photovoltaic panels, 2.5 kWp","A solar PV system is one which converts light directly into electricity via panels placed on the roof with no waste and no emissions. This electricity is used throughout the home in the same way as the electricity purchased from an energy supplier. The British Photovoltaic Association has up-to-date information on local installers who are qualified electricians. It is best to obtain advice from a qualified electrician. Ask the electrician to explain the options.","£5,000 - £8,000"
"9188-2005-6274-5931-9930","3","58","Floor insulation (solid floor)","Insulation of a floor will significantly reduce heat loss; this will improve levels of comfort, reduce energy use and lower fuel bills. Further information about floor insulation is available from many sources including www.energysavingtrust.org.uk/northernireland/Insulation/Floor-insulation.","£4,000 - £6,000"
"8706-7625-4170-8482-4996","2","7","50 mm internal or external wall insulation","Solid wall insulation involves adding a layer of insulation to either the inside or the outside surface of the external walls, which reduces heat loss and lowers fuel bills. As it is more expensive than cavity wall insulation it is only recommended for walls without a cavity, or where for technical reasons a cavity cannot be filled. Internal insulation, known as dry-lining, is where a layer of insulation is fixed to the inside surface of external walls; this type of insulation is best applied when rooms require redecorating and can be installed by a competent DIY enthusiast. External solid wall insulation is the application of an insulant and a weather-protective finish to the outside of the wall. This may improve the look of the home, particularly where existing brickwork or rendering is poor, and will provide long-lasting weather protection. Further information can be obtained from the National Insulation Association (www.nationalinsulationassociation.org.uk).","14,000"
"8006-3939-6529-2626-7223","5","34","Solar photovoltaic panels, 2.5 kWp","A solar PV system is one which converts light directly into electricity via panels placed on the roof with no waste and no emissions. This electricity is used throughout the home in the same way as the electricity purchased from an energy supplier. The British Photovoltaic Association has up-to-date information on local installers who are qualified electricians. It is best to obtain advice from a qualified electrician. Ask the electrician to explain the options.","£11,000 - £20,000"
"0799-2889-6852-9972-3301","6","24","Fan assisted storage heaters and dual immersion cylinder","Modern storage heaters are smaller and easier to control than the older type in the property. Ask for a quotation for new, fan-assisted heaters with automatic charge control. A dual-immersion cylinder, which can be installed at the same time, will provide cheaper hot water than the system currently installed. As installations should be in accordance with the current regulations covering electrical wiring, only a qualified electrician should carry out the installation. It is best to obtain advice from a qualified heating engineer. Ask the engineer to explain the options, which might also include switching to other forms of electric heating.","£1,500 - £2,000"
"8363-7322-5300-4048-3922","5","20","Replace boiler with new condensing boiler","A condensing boiler is capable of much higher efficiencies than other types of boiler, meaning it will burn less fuel to heat this property. This improvement is most appropriate when the existing central heating boiler needs repair or replacement, but there may be exceptional circumstances making this impractical. Condensing boilers need a drain for the condensate which limits their location; remember this when considering remodelling the room containing the existing boiler even if the latter is to be retained for the time being (for example a kitchen makeover). It is best to obtain advice from a qualified heating engineer. Ask the engineer to explain the options.","£2,200 - £3,000"
"8363-7322-5300-4048-3922","6","8","Replace single glazed windows with low-E double glazed windows","Double glazing is the term given to a system where two panes of glass are made up into a sealed unit. Replacing existing single-glazed windows with double-glazed windows will improve comfort in the home by reducing draughts and cold spots near windows. Double-glazed windows may also reduce noise, improve security and combat problems with condensation.","£3,300 - £6,500"
